mop type,fu,transfer_Type_mem,transfer_type_reg,mnemonic
ignore,,,,HINT_NOP
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
ignore,,,,MOV
consistentMov,,flt,int,MOVAPS
consistentMov,,flt,int,MOVAPD
consistentMov,,flt,int,MOVAPS
consistentMov,,flt,int,MOVAPD
cvtpackSimd,SimdFloatCvt,,,CVTPI2PS
compSimdScalar,SimdFloatCvt,,,CVTSI2SS
cvtpackSimd,SimdFloatCvt,,,CVTPI2PD
compSimdScalar,SimdFloatCvt,,,CVTSI2SD
consistentMov,,flt,int,MOVNTPS
consistentMov,,flt,int,MOVNTPD
cvtpackSimd,SimdFloatCvt,,,CVTTPS2PI
compSimdScalar,SimdFloatCvt,,,CVTTSS2SI
cvtpackSimd,SimdFloatCvt,,,CVTTPD2PI
compSimdScalar,SimdFloatCvt,,,CVTTSD2SI
cvtpackSimd,SimdFloatCvt,,,CVTPS2PI
compSimdScalar,SimdFloatCvt,,,CVTSS2SI
cvtpackSimd,SimdFloatCvt,,,CVTPD2PI
compSimdScalar,SimdFloatCvt,,,CVTSD2SI
compSimdScalar,SimdFloatCvt,,,UCOMISS
compSimdScalar,SimdFloatCvt,,,UCOMISD
compSimdScalar,SimdFloatCvt,,,COMISS
compSimdScalar,SimdFloatCvt,,,COMISD
ignore,,,,WRMSR
ignore,,,,RDTSC
ignore,,,,RDMSR
ignore,,,,RDPMC
ignore,,,,SYSENTER
ignore,,,,SYSEXIT
ignore,,,,GETSEC
ignore,,,,INVEPT
ignore,,,,INVVPID
ignore,,,,MOVBE
ignore,,,,CRC32
ignore,,,,MOVBE
ignore,,,,CRC32
consistentComp,SimdFloatCvt,,,ROUNDPS
consistentComp,SimdFloatCvt,,,ROUNDPD
compSimdScalar,SimdFloatCvt,,,ROUNDSS
compSimdScalar,SimdFloatCvt,,,ROUNDSD
ignore,,,,BLENDPS
ignore,,,,BLENDPD
ignore,,,,PBLENDW
ignore,,,,PALIGNR
ignore,,,,PALIGNR
ignore,,,,PEXTRB
ignore,,,,PEXTRB
ignore,,,,
ignore,,,,PEXTRW
ignore,,,,
ignore,,,,PEXTRQ
ignore,,,,EXTRACTPS
ignore,,,,PINSRB
ignore,,,,PINSRB
ignore,,,,
ignore,,,,INSERTPS
ignore,,,,
ignore,,,,PINSRQ
ignore,,,,DPPS
ignore,,,,DPPD
ignore,,,,MPSADBW
ignore,,,,PCMPESTRM
ignore,,,,PCMPESTRI
ignore,,,,PCMPISTRM
ignore,,,,PCMPISTRI
consistentMov,,int,int,CMOVO
consistentMov,,int,int,CMOVNO
consistentMov,,int,int,CMOVB
consistentMov,,int,int,CMOVNAE
consistentMov,,int,int,
consistentMov,,int,int,
consistentMov,,int,int,CMOVAE
consistentMov,,int,int,
consistentMov,,int,int,
consistentMov,,int,int,CMOVE
consistentMov,,int,int,
consistentMov,,int,int,CMOVNE
consistentMov,,int,int,
consistentMov,,int,int,CMOVNA
consistentMov,,int,int,
consistentMov,,int,int,CMOVA
consistentMov,,int,int,CMOVS
consistentMov,,int,int,CMOVNS
consistentMov,,int,int,CMOVP
consistentMov,,int,int,CMOVPE
consistentMov,,int,int,
consistentMov,,int,int,CMOVPO
consistentMov,,int,int,
consistentMov,,int,int,CMOVNGE
consistentMov,,int,int,
consistentMov,,int,int,CMOVGE
consistentMov,,int,int,
consistentMov,,int,int,CMOVNG
consistentMov,,int,int,
consistentMov,,int,int,CMOVG
ignore,,,,MOVMSKPS
ignore,,,,MOVMSKPD
consistentComp,SimdFloatSqrt,,,SQRTPS
compSimdScalar,SimdFloatSqrt,,,SQRTSS
consistentComp,SimdFloatSqrt,,,SQRTPD
compSimdScalar,SimdFloatSqrt,,,SQRTSD
consistentComp,SimdFloatSqrt,,,RSQRTPS
compSimdScalar,SimdFloatSqrt,,,RSQRTSS
consistentComp,SimdFloatSqrt,,,RCPPS
compSimdScalar,SimdFloatSqrt,,,RCPSS
consistentComp,SimdAlu,,,ANDPS
consistentComp,SimdAlu,,,ANDPD
consistentComp,SimdAlu,,,ANDNPS
consistentComp,SimdAlu,,,ANDNPD
consistentComp,SimdAlu,,,ORPS
consistentComp,SimdAlu,,,ORPD
consistentComp,SimdAlu,,,XORPS
consistentComp,SimdAlu,,,XORPD
consistentComp,SimdFloatAdd,,,ADDPS
compSimdScalar,SimdFloatAdd,,,ADDSS
consistentComp,SimdFloatAdd,,,ADDPD
compSimdScalar,SimdFloatAdd,,,ADDSD
consistentComp,SimdFloatMult,,,MULPS
compSimdScalar,SimdFloatMult,,,MULSS
consistentComp,SimdFloatMult,,,MULPD
compSimdScalar,SimdFloatMult,,,MULSD
cvtpackSimd,SimdFloatCvt,,,CVTPS2PD
cvtpackSimd,SimdFloatCvt,,,CVTPD2PS
compSimdScalar,SimdFloatCvt,,,CVTSS2SD
compSimdScalar,SimdFloatCvt,,,CVTSD2SS
cvtpackSimd,SimdFloatCvt,,,CVTDQ2PS
cvtpackSimd,SimdFloatCvt,,,CVTPS2DQ
cvtpackSimd,SimdFloatCvt,,,CVTTPS2DQ
consistentComp,SimdFloatAdd,,,SUBPS
compSimdScalar,SimdFloatAdd,,,SUBSS
consistentComp,SimdFloatAdd,,,SUBPD
compSimdScalar,SimdFloatAdd,,,SUBSD
consistentComp,SimdFloatCmp,,,MINPS
compSimdScalar,SimdFloatCmp,,,MINSS
consistentComp,SimdFloatCmp,,,MINPD
compSimdScalar,SimdFloatCmp,,,MINSD
consistentComp,SimdFloatDiv,,,DIVPS
compSimdScalar,SimdFloatDiv,,,DIVSS
consistentComp,SimdFloatDiv,,,DIVPD
compSimdScalar,SimdFloatDiv,,,DIVSD
consistentComp,SimdFloatCmp,,,MAXPS
compSimdScalar,SimdFloatCmp,,,MAXSS
consistentComp,SimdFloatCmp,,,MAXPD
compSimdScalar,SimdFloatCmp,,,MAXSD
ignore,,,,PUNPCKLBW
ignore,,,,PUNPCKLBW
ignore,,,,PUNPCKLWD
ignore,,,,PUNPCKLWD
ignore,,,,PUNPCKLDQ
ignore,,,,PUNPCKLDQ
ignore,,,,PACKSSWB
ignore,,,,PACKSSWB
consistentComp,SimdCmp,,,PCMPGTB
consistentComp,SimdCmp,,,PCMPGTB
consistentComp,SimdCmp,,,PCMPGTW
consistentComp,SimdCmp,,,PCMPGTW
consistentComp,SimdCmp,,,PCMPGTD
consistentComp,SimdCmp,,,PCMPGTD
ignore,,,,PACKUSWB
ignore,,,,PACKUSWB
ignore,,,,PUNPCKHBW
ignore,,,,PUNPCKHBW
ignore,,,,PUNPCKHWD
ignore,,,,PUNPCKHWD
ignore,,,,PUNPCKHDQ
ignore,,,,PUNPCKHDQ
ignore,,,,PACKSSDW
ignore,,,,PACKSSDW
ignore,,,,PUNPCKLQDQ
ignore,,,,PUNPCKHQDQ
mov64Simd,,flt,auto,MOVD
mov64Simd,,flt,auto,MOVQ
mov64Simd,,flt,auto,
mov64Simd,,flt,auto,MOVQ
mov64Simd,,flt,auto,MOVQ
consistentMov,,flt,auto,MOVDQA
consistentMov,,flt,auto,MOVDQU
ignore,,,,PSHUFW
ignore,,,,PSHUFLW
ignore,,,,PSHUFHW
ignore,,,,PSHUFD
compSimdWithInt,SimdShift,,,PSRLW
compSimdWithInt,SimdShift,,,PSRLW
compSimdWithInt,SimdShift,,,PSRAW
compSimdWithInt,SimdShift,,,PSRAW
compSimdWithInt,SimdShift,,,PSLLW
compSimdWithInt,SimdShift,,,PSLLW
compSimdWithInt,SimdShift,,,PSRLD
compSimdWithInt,SimdShift,,,PSRLD
compSimdWithInt,SimdShift,,,PSRAD
compSimdWithInt,SimdShift,,,PSRAD
